Match_id,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11
225245,England,Pakistan,Sophia Gardens,Pakistan,field,draw,ME Trescothick,AJ Strauss,IR Bell,KP Pietersen,PD Collingwood,JWM Dalrymple,R Clarke,CMW Read,SI Mahmood,SCJ Broad,D Gough
225246,England,Pakistan,Lord's,Pakistan,field,Pakistan,ME Trescothick,AJ Strauss,IR Bell,KP Pietersen,PD Collingwood,JWM Dalrymple,R Clarke,CMW Read,D Gough,J Lewis,SCJ Broad
225247,England,Pakistan,The Rose Bowl,Pakistan,field,Pakistan,ME Trescothick,IR Bell,AJ Strauss,KP Pietersen,PD Collingwood,JWM Dalrymple,R Clarke,CMW Read,J Lewis,SCJ Broad,SI Mahmood
225248,England,Pakistan,Trent Bridge,Pakistan,bat,England,Mohammad Hafeez,Shahid Afridi,Younis Khan,Mohammad Yousuf,Inzamam-ul-Haq,Shoaib Malik,Abdul Razzaq,Kamran Akmal,Shoaib Akhtar,Naved-ul-Hasan,Mohammad Asif
225249,England,Pakistan,Edgbaston,England,field,England,Mohammad Hafeez,Imran Farhat,Shahid Afridi,Younis Khan,Mohammad Yousuf,Inzamam-ul-Haq,Abdul Razzaq,Kamran Akmal,Naved-ul-Hasan,Iftikhar Anjum,Mohammad Asif
225252,England,Sri Lanka,Riverside Ground,England,bat,Sri Lanka,ME Trescothick,AJ Strauss,IR Bell,KP Pietersen,PD Collingwood,JWM Dalrymple,GO Jones,LE Plunkett,AGR Loudon,SJ Harmison,SI Mahmood
225254,England,Sri Lanka,Headingley,England,bat,Sri Lanka,ME Trescothick,AN Cook,IR Bell,AJ Strauss,VS Solanki,JWM Dalrymple,GO Jones,TT Bresnan,LE Plunkett,Kabir Ali,SJ Harmison
226374,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,Australia,JR Hopes,DR Martyn,RT Ponting,A Symonds,MJ Clarke,NW Bracken,ML Lewis,SR Clark,-,-,-
226375,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa,AC Gilchrist,RT Ponting,SM Katich,DR Martyn,A Symonds,MJ Clarke,MEK Hussey,B Lee,NW Bracken,SR Clark,GD McGrath
226376,Australia,South Africa,Docklands Stadium,Australia,bat,Australia,DR Martyn,PA Jaques,RT Ponting,A Symonds,MJ Clarke,MEK Hussey,BJ Haddin,JR Hopes,B Lee,BR Dorey,GD McGrath
